"X","pais","Edad","Educacion","Corrupcion","Democracia","Sexo","Satisfaccion","Economia","Soborno","Educacion_Niveles","Gini","Cor.politic","PIB","Edad_Niveles"
1,"Argentina",58,6,3,3,"Hombre",4,3,0,"Básica",42.27999878,0.526629627,15102.61035,3
2,"Argentina",53,7,3,3,"Hombre",2,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
3,"Argentina",39,7,4,2,"Hombre",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
4,"Argentina",66,6,3,3,"Hombre",4,3,0,"Básica",42.27999878,0.526629627,15102.61035,4
5,"Argentina",38,5,5,2,"Mujer",3,3,1,"Básica",42.27999878,0.526629627,15102.61035,2
6,"Argentina",27,11,4,2,"Hombre",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
7,"Argentina",50,6,5,2,"Mujer",3,3,0,"Básica",42.27999878,0.526629627,15102.61035,3
8,"Argentina",25,10,3,1,"Mujer",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,1
9,"Argentina",26,13,4,2,"Mujer",4,3,0,"Educación superior/postgrados",42.27999878,0.526629627,15102.61035,2
10,"Argentina",30,7,3,2,"Mujer",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
11,"Argentina",63,7,2,4,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,4
12,"Argentina",51,5,4,2,"Mujer",1,3,0,"Básica",42.27999878,0.526629627,15102.61035,3
13,"Argentina",21,9,4,1,"Mujer",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,1
14,"Argentina",31,10,4,3,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
15,"Argentina",39,12,3,3,"Hombre",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
16,"Argentina",57,7,5,3,"Mujer",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
17,"Argentina",30,17,4,3,"Mujer",4,3,1,"Educación superior/postgrados",42.27999878,0.526629627,15102.61035,2
18,"Argentina",27,9,4,2,"Mujer",4,2,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
19,"Argentina",32,6,5,2,"Hombre",1,3,0,"Básica",42.27999878,0.526629627,15102.61035,2
20,"Argentina",52,0,3,2,"Mujer",4,3,0,"Sin estudios",42.27999878,0.526629627,15102.61035,3
21,"Argentina",62,2,3,2,"Hombre",3,3,0,"Básica",42.27999878,0.526629627,15102.61035,4
22,"Argentina",28,12,4,2,"Hombre",4,2,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
23,"Argentina",59,0,3,3,"Hombre",4,1,0,"Sin estudios",42.27999878,0.526629627,15102.61035,3
24,"Argentina",85,2,5,4,"Mujer",4,3,0,"Básica",42.27999878,0.526629627,15102.61035,4
25,"Argentina",38,12,5,2,"Mujer",2,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
26,"Argentina",46,12,4,2,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
27,"Argentina",38,7,5,3,"Hombre",4,1,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
28,"Argentina",43,7,2,4,"Mujer",1,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
29,"Argentina",50,7,3,3,"Mujer",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
30,"Argentina",60,5,5,2,"Hombre",4,3,0,"Básica",42.27999878,0.526629627,15102.61035,3
31,"Argentina",77,3,5,1,"Mujer",4,2,0,"Básica",42.27999878,0.526629627,15102.61035,4
32,"Argentina",38,9,4,3,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
33,"Argentina",33,10,3,2,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
34,"Argentina",43,7,4,2,"Mujer",2,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
35,"Argentina",63,3,5,2,"Mujer",2,3,0,"Básica",42.27999878,0.526629627,15102.61035,4
36,"Argentina",27,12,4,3,"Hombre",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
37,"Argentina",28,8,5,2,"Hombre",2,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
38,"Argentina",25,7,4,3,"Hombre",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,1
39,"Argentina",53,7,2,3,"Mujer",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
40,"Argentina",42,7,2,3,"Mujer",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
41,"Argentina",21,13,5,2,"Mujer",4,3,0,"Educación superior/postgrados",42.27999878,0.526629627,15102.61035,1
42,"Argentina",17,11,2,3,"Mujer",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,1
43,"Argentina",42,9,4,2,"Mujer",2,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
44,"Argentina",24,12,4,2,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,1
45,"Argentina",24,12,4,2,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,1
46,"Argentina",34,8,4,3,"Mujer",4,2,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
47,"Argentina",57,7,4,3,"Mujer",1,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
48,"Argentina",42,6,5,2,"Mujer",3,3,0,"Básica",42.27999878,0.526629627,15102.61035,3
49,"Argentina",44,7,4,3,"Mujer",4,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
50,"Argentina",26,9,4,2,"Hombre",4,1,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
51,"Argentina",29,9,1,3,"Hombre",3,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,2
52,"Argentina",58,2,2,3,"Mujer",3,3,0,"Básica",42.27999878,0.526629627,15102.61035,3
53,"Argentina",46,12,5,2,"Mujer",2,3,0,"Media/secundaria",42.27999878,0.526629627,15102.61035,3
